x,y_lower,z,y_lower,z
0,0,0,0,0
13.157894736842104,-0.272773932,-0.170483707,-0.272773932,-0.170483707
26.31578947368421,-1.083655166,-0.677284479,-1.083655166,-0.677284479
39.473684210526315,-2.410524976,-1.50657811,-2.410524976,-1.50657811
52.63157894736842,-4.217189812,-2.635743633,-4.217189812,-2.635743633
65.78947368421052,-6.454368567,-4.033980355,-6.454368567,-4.033980355
78.94736842105263,-9.061036838,-5.663148023,-9.061036838,-5.663148023
92.10526315789473,-11.96609151,-7.478807192,-11.96609151,-7.478807192
105.26315789473684,-15.09029026,-9.431431411,-15.09029026,-9.431431411
118.42105263157895,-18.34841309,-11.46775818,-18.34841309,-11.46775818
131.57894736842104,-21.65158691,-13.53224182,-21.65158691,-13.53224182
144.73684210526315,-24.90970974,-15.56856859,-24.90970974,-15.56856859
157.89473684210526,-28.03390849,-17.52119281,-28.03390849,-17.52119281
171.05263157894737,-30.93896316,-19.33685198,-30.93896316,-19.33685198
184.21052631578945,-33.54563143,-20.96601965,-33.54563143,-20.96601965
197.36842105263156,-35.78281019,-22.36425637,-35.78281019,-22.36425637
210.52631578947367,-37.58947502,-23.49342189,-37.58947502,-23.49342189
223.68421052631578,-38.91634483,-24.32271552,-38.91634483,-24.32271552
236.8421052631579,-39.72722607,-24.82951629,-39.72722607,-24.82951629
250,-40,-25,-40,-25
